Well number,Condition
A7,disease
B7,disease
C7,disease
D7,disease
E7,disease
F7,disease
G7,disease
H7,disease
I7,disease
J7,disease
K7,disease
L7,disease
M7,disease
N7,disease
O7,disease
A8,disease
B8,disease
C8,disease
D8,disease
E8,disease
F8,disease
G8,disease
H8,disease
I8,disease
J8,disease
K8,disease
L8,disease
M8,disease
N8,disease
O8,disease
P8,disease
A9,disease
B9,disease
C9,disease
D9,disease
E9,disease
F9,disease
G9,disease
H9,disease
I9,disease
J9,disease
K9,disease
L9,disease
M9,disease
N9,disease
O9,disease
P9,disease
SRR7093809,no disease
SRR7093874,no disease
SRR7093875,no disease
SRR7093876,no disease
SRR7093877,no disease
SRR7093944,no disease
SRR7093951,no disease
