Well number,Condition
A1,disease
B1,disease
C1,disease
D1,disease
E1,disease
F1,disease
G1,disease
H1,disease
I1,disease
J1,disease
K1,disease
L1,disease
M1,disease
N1,disease
O1,disease
A2,disease
B2,disease
C2,disease
D2,disease
E2,disease
F2,disease
G2,disease
H2,disease
I2,disease
J2,disease
K2,disease
L2,disease
M2,disease
N2,disease
O2,disease
P2,disease
A3,disease
B3,disease
C3,disease
D3,disease
E3,disease
F3,disease
G3,disease
H3,disease
I3,disease
J3,disease
K3,disease
L3,disease
M3,disease
N3,disease
O3,disease
P3,disease
SRR1810679,no disease
SRR1810680,no disease
SRR1810681,no disease
SRR1810682,no disease
SRR1810683,no disease
SRR1810684,no disease
SRR1810685,no disease
SRR1810686,no disease
SRR1810687,no disease
SRR1810688,no disease
SRR1810689,no disease
SRR1810690,no disease
SRR1810691,no disease
SRR1810692,no disease
SRR1810693,no disease
SRR1810694,no disease
SRR1810695,no disease
SRR1810696,no disease
SRR1810697,no disease
SRR1810698,no disease
SRR1810699,no disease
SRR1810700,no disease
SRR1810701,no disease
SRR1810702,no disease
SRR1810703,no disease
SRR1810704,no disease
SRR1810705,no disease
SRR1810706,no disease
SRR1810707,no disease
SRR1810708,no disease
SRR1810709,no disease
SRR1810710,no disease
SRR1810711,no disease
SRR1810712,no disease
SRR1810713,no disease
SRR1810714,no disease
SRR1810715,no disease
SRR1810716,no disease
SRR1810717,no disease
SRR1810718,no disease
SRR1810719,no disease
SRR1810720,no disease
SRR1810721,no disease
SRR1810722,no disease
SRR1810723,no disease
SRR1810724,no disease
SRR1810725,no disease
SRR1810726,no disease
SRR1810727,no disease
SRR1810728,no disease
SRR1810729,no disease
SRR1810730,no disease
SRR1810731,no disease
SRR1810732,no disease
SRR1810733,no disease
SRR1810734,no disease
SRR1810735,no disease
SRR1810736,no disease
SRR1810737,no disease
SRR1810738,no disease
SRR1810739,no disease
SRR1810740,no disease
SRR1810741,no disease
SRR1810742,no disease
SRR1810743,no disease
SRR1810744,no disease
SRR1810745,no disease
SRR1810746,no disease
SRR1810747,no disease
SRR1810748,no disease
SRR1810749,no disease
SRR1810750,no disease
SRR1810751,no disease
SRR1810752,no disease
