Well number,Condition
A13,disease
B13,disease
C13,disease
D13,disease
E13,disease
F13,disease
G13,disease
H13,disease
I13,disease
J13,disease
K13,disease
L13,disease
M13,disease
N13,disease
O13,disease
A14,disease
B14,disease
C14,disease
D14,disease
E14,disease
F14,disease
G14,disease
H14,disease
I14,disease
J14,disease
K14,disease
L14,disease
M14,disease
N14,disease
O14,disease
P14,disease
A15,disease
B15,disease
C15,disease
D15,disease
E15,disease
F15,disease
G15,disease
H15,disease
I15,disease
J15,disease
K15,disease
L15,disease
M15,disease
N15,disease
O15,disease
P15,disease
SRR7093809,no disease
SRR7093874,no disease
SRR7093875,no disease
SRR7093876,no disease
SRR7093877,no disease
SRR7093944,no disease
SRR7093951,no disease
