Well number,Condition
A1,disease
B1,disease
C1,disease
D1,disease
E1,disease
F1,disease
G1,disease
H1,disease
I1,disease
J1,disease
K1,disease
L1,disease
M1,disease
N1,disease
O1,disease
A2,disease
B2,disease
C2,disease
D2,disease
E2,disease
F2,disease
G2,disease
H2,disease
I2,disease
J2,disease
K2,disease
L2,disease
M2,disease
N2,disease
O2,disease
P2,disease
A3,disease
B3,disease
C3,disease
D3,disease
E3,disease
F3,disease
G3,disease
H3,disease
I3,disease
J3,disease
K3,disease
L3,disease
M3,disease
N3,disease
O3,disease
P3,disease
SRR1810676,no disease
SRR1810677,no disease
SRR1810678,no disease
