Well number,Condition
A7,disease
B7,disease
C7,disease
D7,disease
E7,disease
F7,disease
G7,disease
H7,disease
I7,disease
J7,disease
K7,disease
L7,disease
M7,disease
N7,disease
O7,disease
A8,disease
B8,disease
C8,disease
D8,disease
E8,disease
F8,disease
G8,disease
H8,disease
I8,disease
J8,disease
K8,disease
L8,disease
M8,disease
N8,disease
O8,disease
P8,disease
A9,disease
B9,disease
C9,disease
D9,disease
E9,disease
F9,disease
G9,disease
H9,disease
I9,disease
J9,disease
K9,disease
L9,disease
M9,disease
N9,disease
O9,disease
P9,disease
SRR1810679,no disease
SRR1810680,no disease
SRR1810681,no disease
SRR1810682,no disease
SRR1810683,no disease
SRR1810684,no disease
SRR1810685,no disease
SRR1810686,no disease
SRR1810687,no disease
SRR1810688,no disease
SRR1810689,no disease
SRR1810690,no disease
SRR1810691,no disease
SRR1810692,no disease
SRR1810693,no disease
SRR1810694,no disease
SRR1810695,no disease
SRR1810696,no disease
SRR1810697,no disease
SRR1810698,no disease
SRR1810699,no disease
SRR1810700,no disease
SRR1810701,no disease
SRR1810702,no disease
SRR1810703,no disease
SRR1810704,no disease
SRR1810705,no disease
SRR1810706,no disease
SRR1810707,no disease
SRR1810708,no disease
SRR1810709,no disease
SRR1810710,no disease
SRR1810711,no disease
SRR1810712,no disease
SRR1810713,no disease
SRR1810714,no disease
SRR1810715,no disease
SRR1810716,no disease
SRR1810717,no disease
SRR1810718,no disease
SRR1810719,no disease
SRR1810720,no disease
SRR1810721,no disease
SRR1810722,no disease
SRR1810723,no disease
SRR1810724,no disease
SRR1810725,no disease
SRR1810726,no disease
SRR1810727,no disease
SRR1810728,no disease
SRR1810729,no disease
SRR1810730,no disease
SRR1810731,no disease
SRR1810732,no disease
SRR1810733,no disease
SRR1810734,no disease
SRR1810735,no disease
SRR1810736,no disease
SRR1810737,no disease
SRR1810738,no disease
SRR1810739,no disease
SRR1810740,no disease
SRR1810741,no disease
SRR1810742,no disease
SRR1810743,no disease
SRR1810744,no disease
SRR1810745,no disease
SRR1810746,no disease
SRR1810747,no disease
SRR1810748,no disease
SRR1810749,no disease
SRR1810750,no disease
SRR1810751,no disease
SRR1810752,no disease
